Country Code,Year,Birth Rate
PHL,2013,24.56
PHL,2014,23.404
PHL,2015,22.933
PHL,2016,21.76
PHL,2017,20.571
PHL,2018,19.418
PHL,2019,18.104
PHL,2020,17.017
PHL,2021,16.108
PHL,2022,16.057
PHL,2023,16.019
SGP,1990,16.591
SGP,1991,15.72
SGP,1992,15.56
SGP,1993,15.512
SGP,1994,15.027
SGP,1995,14.512
SGP,1996,14.09
SGP,1997,13.364
SGP,1998,12.16
SGP,1999,11.873
SGP,2000,12.696
SGP,2001,11.168
SGP,2002,11.082
SGP,2003,10.14
SGP,2004,9.864
SGP,2005,9.746
SGP,2006,9.613
SGP,2007,9.497
SGP,2008,9.248
SGP,2009,8.96
SGP,2010,8.399
SGP,2011,8.68
SGP,2012,9.243
SGP,2013,8.486
SGP,2014,8.893
SGP,2015,8.621
SGP,2016,8.354
SGP,2017,8.334
SGP,2018,8.471
SGP,2019,8.374
SGP,2020,8.383
SGP,2021,8.226
SGP,2022,7.995
SGP,2023,8.2
THA,1990,19.622
THA,1991,19.452
THA,1992,19.19
THA,1993,18.744
THA,1994,18.238
THA,1995,17.676
THA,1996,17.254
THA,1997,16.83
THA,1998,16.277
THA,1999,15.585
THA,2000,15.027
THA,2001,14.665
THA,2002,14.335
THA,2003,14.053
THA,2004,13.82
THA,2005,13.488
THA,2006,13.208
THA,2007,12.926
THA,2008,12.525
THA,2009,12.188
THA,2010,12.009
THA,2011,11.943
THA,2012,11.758
THA,2013,11.367
THA,2014,10.95
THA,2015,10.594
THA,2016,10.111
THA,2017,9.765
THA,2018,9.4
THA,2019,9.056
THA,2020,8.792
THA,2021,8.544
THA,2022,8.38
THA,2023,8.245
VNM,1990,28.896
VNM,1991,28.489
VNM,1992,27.342
VNM,1993,26.094
VNM,1994,24.452
VNM,1995,22.727
VNM,1996,21.012
VNM,1997,19.573
VNM,1998,18.254
VNM,1999,17.591
VNM,2000,18.018
VNM,2001,18.095
VNM,2002,18.095
VNM,2003,18.151
VNM,2004,17.996
VNM,2005,17.369
VNM,2006,17.249
VNM,2007,17.537
VNM,2008,17.664
VNM,2009,17.528
VNM,2010,17.409
VNM,2011,17.588
VNM,2012,17.892
VNM,2013,17.888
VNM,2014,18.671
VNM,2015,18.498
VNM,2016,17.313
VNM,2017,16.764
VNM,2018,15.438
VNM,2019,15.513
VNM,2020,15.234
VNM,2021,14.735
VNM,2022,14.272
VNM,2023,13.831
